index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
0,-2844.7937256116093,-1085.7724681876878,-223.70560579740578,-1133.4447152859946,-731.996898374769,-218.37328046389058,-410.87642993426795,2000
1,-2520.4354629980294,-1120.9568456127574,-156.38463598866605,-820.078855698544,-256.4146418379563,-112.6215648459977,-515.5119282687037,2000
2,-3111.4047301160385,-1149.175546287229,-241.60282247147632,-1128.8128267223321,-668.9700525347906,-213.34394150688817,-379.1656162427582,2000
3,-1028.7068996668886,-785.2499976730139,-74.74276153877086,-708.7915127542425,-79.79327041414709,-91.99235196680634,-556.8173453724662,2000
4,-1007.7433564670358,-860.5819380597247,-84.68794294698979,-723.4613200723503,-76.76090978115738,-129.9599939667802,-529.6966289927175,2000
5,-3247.795281092338,-1329.7693595401079,-228.90957920309674,-1137.9431120394468,-849.8297324312084,-96.20019038835626,-420.53411844706443,2000
6,-3764.5274182447283,-1517.307315529696,-293.39001181959406,-1173.772013942844,-632.9149099692427,-107.51441845577196,-312.0526931985666,2000
7,-1180.1059060126024,-927.3637904348448,-81.95998501073815,-657.6289283325399,-124.92930521970132,-144.20617663904733,-528.4326038752716,2000
8,-2953.3607374866683,-1059.2960514494266,-239.5567844967609,-1125.6352385370537,-719.0750980420253,-211.333446186062,-423.651367551474,2000
9,-1532.586875204179,-927.0271079225498,-97.16477762929014,-766.2888829641256,-283.0299568540149,-104.17099276709135,-521.6395838936703,2000
10,-1251.1808775527304,-711.5902843033895,-123.06637367452925,-708.1583670349883,-125.56219813286621,-124.13861901838834,-485.45840905303396,2000
11,-1057.1805560299154,-797.4650753897661,-101.74620836337132,-694.0443780574521,-89.31249439387376,-141.63285124213553,-508.9439061941022,2000
12,-4741.837075861275,-1692.4612409721085,-312.8504174081375,-1305.7034001402285,-1030.6492931503103,-64.92392281487844,-417.9902752417203,2000
13,-1855.5997693071447,-720.281975779533,-183.4219350666647,-756.825518855165,-77.45208548627629,-130.69887638861667,-488.3664896095429,2000
14,-2364.346100583513,-1100.6122885047564,-112.79845795224374,-920.725965490817,-684.3180172815343,-71.85532603993427,-528.2117322579529,2000
15,-475.7031843841427,-604.9069552175546,-59.402908987118565,-749.2043628301104,-77.768607838213,-140.84349225680208,-458.49332935753023,2000
16,-1609.5847650234386,-849.4184295495892,-97.19198459453354,-866.7547659766499,-234.12898132019845,-150.87340230488766,-482.5323575360146,2000
17,-2318.170506481918,-1172.9374092276028,-102.39792878199387,-914.5129545130814,-597.3791562688702,-93.44907501531878,-563.5339438597714,2000
18,-786.5547351756593,-586.4292507620814,-64.51190505784649,-779.089221445315,-268.4618036167607,-172.58060047940617,-489.1367302168513,2000
19,-1915.9779613319533,-893.7319273188939,-118.76130485180342,-825.9889576223542,-104.51025131586897,-221.94084301645705,-507.85488847821944,2000
20,-3012.1636621650987,-1666.3144305875146,-128.25160982709647,-953.2311016544188,-133.10212762908645,-176.6742274505441,-582.9189275534623,2000
21,-503.79975074546707,-687.1767360548874,-68.0968826317942,-660.5812985151102,-91.62508203970792,-110.41566096150036,-471.74631524388536,2000
22,-3267.619882357662,-1219.804101276044,-218.33449658335772,-1118.0629288455825,-521.2333910577566,-203.53130363110762,-420.6155596685358,2000
23,-972.6927722404558,-628.4211406778351,-85.05694432235981,-805.1758291219891,-128.1059127250772,-177.92071605045382,-450.0880959818802,2000
24,-6071.293606645596,-1896.330473927094,-455.697831661937,-1584.6081438808703,-915.5867109319836,-27.76357327936486,-351.49188308813876,2000
25,-1721.2348263166245,-729.2072977470152,-70.14008501378629,-962.5479121019696,-559.2489170899028,-95.53090254163628,-533.857264432377,2000
26,-6273.564608605594,-1919.8446891620013,-478.5420404575605,-1570.840770212354,-909.118828058963,-80.74313455548155,-366.314402629764,2000
27,-6155.731818520246,-1914.7589880197106,-473.40984631787194,-1482.9259161304867,-760.3914084273111,-488.8844357474001,-438.17498007933006,2000
28,-1951.9046302122179,-733.3161150293768,-125.1286193458684,-781.8021080648953,-292.48431236062265,-115.10233840634693,-527.4689034204798,2000
29,-2536.0034546691413,-1178.098454632419,-135.56183812750436,-941.1296908298921,-694.945273744396,-153.75299076215515,-536.2749102763864,2000
30,-2849.5598470729865,-845.4395136862923,-151.99810925174629,-930.3421744259626,-760.5718411248553,-36.911786095165155,-568.1731705212926,2000
31,-2243.665227604557,-854.1052318087326,-190.14289397754803,-774.3219175176408,-172.9085163081674,-82.06037268890982,-517.6417994883418,2000
32,-1879.2838248947132,-1067.382109306406,-86.08079825808748,-906.858402465952,-524.3385190473962,-104.16308296234752,-614.8728638947,2000
33,-2196.8229201327244,-761.6064595103038,-194.2297145556891,-789.1112910541735,-192.90610773348558,-68.70489436862883,-504.68017489959414,2000
34,-2090.0049979542387,-919.1241001327705,-73.79788886726836,-828.3551906623079,-343.8371656864932,-51.49019690192912,-559.9376944675504,2000
