index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
0,-2905.9739299985463,-3102.8429444856692,-1.4648281271396026,-3.973729268409772,-102.52514514258057,1293
1,-2919.8306794955206,-3123.8649734901837,-1.5843352411550302,-3.0823201420007713,-102.85496095262393,1298
2,-3078.0,-3287.3562800898485,-2.08871854368869,-6.099885580562714,-105.30107317198318,1368
3,-3093.446662195707,-3298.2392500847727,-3.4357102317700825,-6.91217467543883,-105.39416868042072,1385
4,-3163.4390214449804,-3370.0927710096876,-2.353268321494984,-8.494779856942207,-111.89083335645519,1413
5,-3225.7364330171276,-3434.9764163401956,-3.033578748673701,-8.058725425278384,-110.8197755246629,1435
6,-3231.544593113764,-3445.229337022174,-2.573560091693639,-8.57038819403282,-111.2841037110579,1438
7,-3285.7529718611618,-3506.5098322774165,-2.2499072288044437,-7.622630368196224,-115.96882532548646,1461
8,-3297.8839687394,-3516.952099197701,-3.7923803671114427,-9.467374088602453,-111.8743379908344,1480
9,-3321.5717756276604,-3521.4063252755905,-2.460141957637157,-8.348233111119365,-105.90890075711845,1523
10,-3424.486647923729,-3640.1139616711826,-3.8764716501424332,-8.026564331736308,-117.05071752145938,1526
11,-3403.3710916537493,-3604.888681463033,-3.1251183885345117,-7.340948753934306,-116.99419463308611,1543
12,-3418.5673865909807,-3632.827043463206,-3.3357605971882345,-11.535242368150525,-109.86562583902395,1552
13,-3441.2412061147625,-3633.99691426746,-2.8301003347615685,-9.1923350636234,-116.80575841015997,1561
14,-3424.0331321719427,-3638.0705917029236,-4.492529496898251,-10.393764073046775,-113.36401342579315,1566
15,-3437.7420000010925,-3643.1924074194208,-4.024767053402373,-12.474251672190206,-107.78885373933058,1569
16,-3569.6215041457394,-3793.201245727652,-4.146807777411285,-9.500996036154417,-119.42604418407413,1608
17,-3502.9125973288515,-3700.6278560882924,-3.042030955640869,-8.254922945692499,-107.85568971965891,1614
18,-3571.568224775928,-3795.1750946049933,-3.4351024931867906,-12.937131297259526,-115.13129150230694,1615
