index,reward,range_reward,closing_reward,los_yaw_rate_reward,los_pitch_rate_reward,vertical_attack_reward,gimbal_center_reward,terminal_reward,steps
0,-8745.044182168049,-3000.0,-1193.7936607586637,1584.0863611170273,2770.02190843143,-92.2153737524055,2114.0369819530215,-9000.0,3000
1,-8754.824837788989,-3000.0,-1420.4759498694846,2520.4060922296685,2144.7231435399185,13.819417013771913,1301.5286378721728,-9000.0,3000
2,-9182.83653306023,-3000.0,-1742.6452191854794,1524.7715615795091,1788.2534693318594,-56.741066709276495,918.9283759297074,-9000.0,3000
3,-8583.736258911564,-3000.0,-1525.9642310446259,2634.2233578718187,2726.2702385122043,-60.45154212206069,2040.436952383834,-9000.0,3000
4,-9121.503078585907,-3000.0,-1737.944719806329,1822.452790970971,1751.265847884818,-83.6995642961397,925.6227454362975,-9000.0,3000
5,-8657.907866290861,-3000.0,-1596.0029232467955,2561.8066557912603,2586.373911244186,-1.0093839723614688,1793.4087519417187,-9000.0,3000
6,-9108.636073671287,-3000.0,-1669.3244473895302,1487.8049128077332,2021.9079425511345,-95.59908842514959,1184.6123451719648,-9000.0,3000
7,-8851.970333814783,-3000.0,-1347.19866920592,1421.7290294632114,2689.3599084553634,-95.80342354120785,1885.5268809665167,-9000.0,3000
8,-9121.15027491242,-3000.0,-2420.58655024999,2246.324723373821,1971.9955942251502,-43.40851602701633,1034.689450530529,-9000.0,3000
9,-9075.373376147381,-3000.0,-1915.8189884126764,2270.343575381244,1642.7431257399026,29.128224204962095,847.3910076419368,-9000.0,3000
10,-8965.187405593206,-3000.0,-1789.6814311692626,1954.9569637385393,2246.095491236273,-115.84250081859962,1353.3559755066246,-9000.0,3000
11,-8841.335549692754,-3000.0,-1127.1619030252714,1972.248677560285,2032.8195536898663,75.90442898592427,1207.5297726938372,-9000.0,3000
12,-8854.978195337831,-3000.0,-885.5914310708397,1177.4778820794843,2481.838321162656,-47.045304135598485,1680.6477950923038,-9000.0,3000
13,-8735.28190205269,-3000.0,-1030.0967470835676,1420.5045501987481,2807.8582453079675,-69.6930402106162,2082.0710069361785,-9000.0,3000
14,-8494.75648626464,-3000.0,-921.7092763202974,2521.859275485915,2629.030591095437,-45.4447442719822,1895.6929299980538,-9000.0,3000
15,-8708.396477527083,-3000.0,-1366.1126536837044,2369.8535719486285,2379.5474161677835,9.899693579537727,1572.487057022288,-9000.0,3000
16,-8737.461839113066,-3000.0,-1330.8840316644369,1982.8482722509107,2585.5069247735914,-46.636431015745686,1804.174486041971,-9000.0,3000
17,-8741.144799276679,-3000.0,-1428.7698835605986,2071.7147596699783,2581.9342058791262,-43.728837488575536,1785.1420958981978,-9000.0,3000
18,-8951.049449866907,-3000.0,-1800.3181008135525,2261.639541938505,2008.313749174196,-2.437326210382091,1129.636741647029,-9000.0,3000
19,-9133.905445672617,-3000.0,-1389.0767714147814,1045.9941130395744,2070.802742528612,-82.56051390579661,1193.9557104228145,-9000.0,3000
20,-8568.593922113903,-3000.0,-1454.9561771111132,2492.7620752660746,2803.2862930186807,23.649555262008498,2143.5799295647676,-9000.0,3000
21,-8786.070732845537,-3000.0,-1573.3360061706446,1808.4779110807813,2755.950743810227,-76.20403436810331,2073.7486979676487,-9000.0,3000
22,-8627.138543086035,-3000.0,-1094.7006655946086,2198.510064481167,2572.3194570750743,0.7095506995877452,1810.3915282646285,-9000.0,3000
23,-8842.317208523775,-3000.0,-900.4264268778902,1149.531577975807,2567.8045352406734,-57.947467599037545,1748.3842702974778,-9000.0,3000
24,-9025.35709403198,-3000.0,-689.5555993447498,871.5663444874821,1981.0361090262095,-20.84327491966504,1151.9197691885047,-9000.0,3000
25,-9035.274244330323,-3000.0,-693.1650727126715,881.8682765379156,1942.3889495132337,-11.099719796975881,1087.4722169625854,-9000.0,3000
26,-9077.979469059905,-2999.999999999999,-755.3206420315461,667.1813419357867,2029.0094345768764,-26.163327441639854,1176.5606281757114,-9000.0,3000
27,-9060.820783344901,-2999.9999999999995,-725.2940522400049,737.3450390441815,2010.6925893667296,-12.704043253864715,1099.8232539891792,-9000.0,3000
28,-9071.940791601308,-2999.9999999999986,-746.1927681775225,676.3243900338304,2035.1530526677045,-22.020225771065213,1171.8581818007904,-9000.0,3000
29,-8987.851300212551,-3000.0,-604.0482391370855,797.2797329183311,2090.506069685965,30.45671177150551,1220.120267562971,-9000.0,3000
30,-9055.652295865259,-3000.0,-710.4441241395136,837.1816104935398,1925.1981999797015,-10.905185558889174,1059.4731594107664,-9000.0,3000
31,-9069.998709585989,-3000.0,-751.460226810702,682.5027694265866,2045.9575922625572,-23.704329818568542,1157.8338205011244,-9000.0,3000
32,-9009.181982714956,-3000.0,-695.8071390724789,872.4511014028172,2043.5972849791933,-6.012289889264432,1171.226938393513,-9000.0,3000
33,-9100.134114134895,-2999.999999999999,-758.0257810870797,587.9607317189146,2029.2085759351692,-19.76984566893215,1112.9684811180784,-9000.0,3000
34,-9019.089871463178,-2999.999999999998,-706.2933582460429,735.9623033979385,2132.1962133183747,-14.734106957929407,1270.7180239949384,-9000.0,3000
35,-8985.017392394988,-3000.0,-617.784416567168,977.263956044148,1976.2018639521636,-11.05480786924405,1110.4910313790353,-9000.0,3000
36,-9094.544256633184,-3000.0,-724.6728476690075,745.9917554011203,1880.5167002575788,-12.544271788946267,1005.3924925637925,-9000.0,3000
37,-9067.332100422578,-2999.9999999999995,-705.5236250976885,773.5759334818185,1925.6997623817551,-14.647151833708767,1112.6423555395556,-9000.0,3000
38,-9012.585828777776,-2999.9999999999986,-648.7121121685774,748.7025961465205,2082.415933882041,-11.750161826916436,1296.2329423700605,-9000.0,3000
39,-9058.885009195568,-2999.9999999999995,-721.0706592791165,713.0556429866036,2029.6912863220314,-2.5614423595671227,1123.376604666134,-9000.0,3000
40,-9083.117561830757,-3000.0,-793.8122620394528,659.5853775540147,2045.0053553414432,1.1839465570361547,1163.5442101619867,-9000.0,3000
41,-9102.475274325854,-2999.999999999999,-746.4667456325976,593.3610107437669,1999.837328269399,-29.902294073269985,1145.987453402637,-9000.0,3000
42,-9058.460238720809,-2999.9999999999995,-706.0636794756177,727.727324471964,2008.8068467620412,-31.14597161847938,1146.8288083803984,-9000.0,3000
43,-9025.188639727367,-3000.0,-716.5395703885139,832.810765635002,2048.0360611727024,-4.729090030861312,1117.0105547022288,-9000.0,3000
44,-9083.130853798955,-2999.9999999999986,-701.7792125968383,746.1789820501449,1895.2054677210988,7.541798188589515,1012.1941892067695,-9000.0,3000
45,-9083.561491571174,-2999.999999999999,-708.9728313278064,674.0554013375731,1959.5380241118316,-13.71678080623005,1118.0248784048063,-9000.0,3000
46,-9041.054171067446,-2999.9999999999995,-733.057143734879,685.696556037202,2129.0437554004207,-14.212368890996697,1215.2621114598865,-9000.0,3000
47,-9027.841346255795,-2999.999999999999,-652.2974147234082,752.8439831257157,2034.2858394024922,-20.42746474843244,1236.8324469179224,-9000.0,3000
48,-9086.54536955319,-2999.999999999824,-556.1420612306515,938.1519590856609,1662.8190583007527,-74.15037102240572,602.2143614328015,-9000.0,3000
49,-9110.811924104893,-2999.999999999829,-611.5580094201346,870.765774790025,1673.9465258211171,-50.46912685992872,605.5591739043708,-9000.0,3000
50,-9112.567231123361,-2999.999999999801,-583.3568363768824,866.7762135370336,1649.0243109631856,-70.02611331791486,612.9779011756389,-9000.0,3000
51,-9100.160435648857,-2999.999999999855,-611.1816938961612,864.2106867550161,1709.7427070600882,-51.797175446768534,679.0814783052184,-9000.0,3000
52,-9079.496633573715,-2999.9999999998604,-561.0406883362969,955.6762043146097,1674.965902500885,-68.03648972530144,612.0534992755087,-9000.0,3000
