index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
0,-11817.087881423533,3000.0,-2952.123994684611,3000.0,-2134.17772367254,-1173.243687968223,28.61039234724734,-12618,3000
1,-10805.38682366933,3000.0,-2952.1067536017204,2999.9384615384615,-1941.9957511871423,-1627.9380363543844,-52.78518430937589,-11598,3000
2,-12454.485811787492,3000.0,-2951.818821559429,3000.0,-2453.8810388243005,-1513.8395956458073,-205.867140533559,-13218,3000
3,-10236.366983957441,3000.0,-2952.140055823508,2999.9692307692308,-2514.9573999267623,-1787.8011913307005,-163.14142183362117,-10986,3000
4,-13324.241289066142,3000.0,-2952.0405329703294,2999.2,-2581.697546790641,-2390.101066330738,158.67885015781252,-14052,3000
5,-12249.740402326144,3000.0,-2952.117696978572,3000.0,-2057.868452388849,-1855.5071913490592,-68.51722638748276,-13026,3000
6,-11309.634298262195,3000.0,-2952.1410476691476,3000.0,-1957.4763027554568,-1785.6406329691429,-3.7479763812691544,-12096,3000
7,-11333.12195692091,3000.0,-2952.088516230102,3000.0,-2478.678540726233,-1659.6120875447427,-167.4217929323354,-12090,3000
8,-10986.55119863806,3000.0,-2952.2593365849284,2999.9384615384615,-2140.5659940149717,-1616.9092218590692,-134.90952046353266,-11766,3000
9,-10779.504397652663,3000.0,-2952.1799508733666,2992.769230769229,-2119.3601587951916,-1971.9524602772178,-122.66292015304003,-11544,3000
10,-11593.106506230286,3000.0,-2952.207319648526,2999.3230769230768,-2340.359250568715,-2348.1885415746005,-191.72259451755662,-12330,3000
11,-12560.565333812503,3000.0,-2952.2827974571765,2999.753846153846,-2472.956665211854,-2075.656393016236,-117.62069375448931,-13302,3000
12,-11335.750008019153,3000.0,-2952.041103559154,3000.0,-2289.831176273858,-1740.9854092799594,-103.37840007462933,-12102,3000
13,-12374.96465957464,3000.0,-2951.999526916568,3000.0,-2490.329521239615,-2361.4040944215994,-122.44379780715144,-13104,3000
14,-12327.219329029416,3000.0,-2952.3369501068396,2998.338461538461,-2295.0201483989545,-1832.1518224021684,52.37344335430731,-13092,3000
15,-12566.82835021622,3000.0,-2951.895870604311,3000.0,-2368.3466643727866,-1627.8768478640475,-150.2898956974504,-13332,3000
16,-11670.562943895238,3000.0,-2952.1823736887923,2998.030769230769,-2118.6025375772065,-2297.6572317679766,-10.599454988422963,-12426,3000
17,-12316.162712650703,3000.0,-2951.981183286969,3000.0,-2336.732817448489,-1828.2233885444978,-209.79147492717038,-13074,3000
